dataset,feature_strategy,model,fold,accuracy,precision,recall,f1,roc_auc
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,1,0.7142857142857143,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5454545454545454
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,2,0.5,0.6666666666666666,0.6,0.631578947368421,0.5
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,3,0.5714285714285714,0.6666666666666666,0.8,0.7272727272727273,0.45
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,4,0.5,0.6363636363636364,0.7,0.6666666666666666,0.375
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,5,0.5384615384615384,0.7,0.7,0.7,0.5666666666666667
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,6,0.7857142857142857,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.606060606060606
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,7,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.47500000000000003
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,8,0.7142857142857143,0.75,0.9,0.8181818181818182,0.55
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,9,0.6428571428571429,0.7272727272727273,0.8,0.7619047619047619,0.725
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,10,0.7692307692307693,0.8181818181818182,0.9,0.8571428571428571,0.5333333333333334
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,11,0.6428571428571429,0.75,0.8181818181818182,0.782608695652174,0.4545454545454546
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,12,0.7142857142857143,0.75,0.9,0.8181818181818182,0.7
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,13,0.6428571428571429,0.6923076923076923,0.9,0.782608695652174,0.35
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,14,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.55
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,15,0.6923076923076923,0.75,0.9,0.8181818181818182,0.5
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,1,0.5714285714285714,1.0,0.45454545454545453,0.625,0.8787878787878789
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,2,0.5714285714285714,0.8333333333333334,0.5,0.625,0.6499999999999999
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,3,0.7142857142857143,0.8,0.8,0.8,0.625
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,4,0.7142857142857143,0.8,0.8,0.8,0.42500000000000004
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,5,0.5384615384615384,0.8333333333333334,0.5,0.625,0.4
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,6,0.5714285714285714,0.7777777777777778,0.6363636363636364,0.7,0.5151515151515151
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,7,0.6428571428571429,0.7777777777777778,0.7,0.7368421052631579,0.75
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,8,0.5,0.7142857142857143,0.5,0.5882352941176471,0.45000000000000007
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,9,0.7142857142857143,1.0,0.6,0.75,0.8
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,10,0.6923076923076923,0.875,0.7,0.7777777777777778,0.5333333333333334
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,11,0.6428571428571429,0.875,0.6363636363636364,0.7368421052631579,0.5151515151515151
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,12,0.5,0.7142857142857143,0.5,0.5882352941176471,0.3625
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,13,0.5,0.7142857142857143,0.5,0.5882352941176471,0.5
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,14,0.7142857142857143,0.8,0.8,0.8,0.6000000000000001
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,15,0.8461538461538461,0.9,0.9,0.9,0.6333333333333334
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QNN,1,0.6428571428571429,1.0,0.5454545454545454,0.7058823529411765,0.7727272727272727
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QNN,2,0.6428571428571429,0.7272727272727273,0.8,0.7619047619047619,0.525
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QNN,3,0.5714285714285714,0.8333333333333334,0.5,0.625,0.675
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QNN,4,0.5714285714285714,0.75,0.6,0.6666666666666666,0.55
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QNN,5,0.6153846153846154,0.7272727272727273,0.8,0.7619047619047619,0.4
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QNN,6,0.5,0.7,0.6363636363636364,0.6666666666666666,0.3181818181818182
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QNN,7,0.5714285714285714,0.7,0.7,0.7,0.475
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QNN,8,0.5,0.6666666666666666,0.6,0.631578947368421,0.3
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QNN,9,0.6428571428571429,0.7272727272727273,0.8,0.7619047619047619,0.525
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QNN,10,0.6923076923076923,0.8,0.8,0.8,0.5666666666666667
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QNN,11,0.7142857142857143,0.8888888888888888,0.7272727272727273,0.8,0.696969696969697
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QNN,12,0.5714285714285714,0.7,0.7,0.7,0.475
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QNN,13,0.5714285714285714,0.7,0.7,0.7,0.475
